x,y,z
38657.602,22499.04569,10
38440.90545,22471.01597,10
38224.17675,22443.22591,10
38007.42968,22415.57279,10
37790.67803,22387.95389,10
37573.93556,22360.26648,10
37357.21605,22332.40783,10
37140.53328,22304.27522,10
36923.90102,22275.76593,10
36707.33305,22246.77722,10
36490.84316,22217.20638,10
36194.56553,22177.08123,10
35898.07817,22138.06168,10
35601.49946,22099.47328,10
35304.94782,22060.64162,10
35008.54165,22020.89228,10
34712.39937,21979.55084,10
34416.63937,21935.94287,10
34121.38005,21889.39395,10
33826.73984,21839.22967,10
33532.83714,21784.77559,10
32688.08682,21623.67365,10
31841.57866,21464.25262,10
30994.78753,21302.47679,10
30149.18831,21134.3104,10
29306.25586,20955.71774,10
28467.46506,20762.66306,10
27634.29079,20551.11064,10
26808.20791,20317.02473,10
25990.69129,20056.36961,10
25183.21582,19765.10955,10
24204.26204,19357.66376,10
23247.30334,18903.0152,10
22307.82796,18410.71171,10
21381.32413,17890.30111,10
20463.28009,17351.33122,10
19549.18407,16803.34987,10
18634.5243,16255.90489,10
17714.78902,15718.5441,10
16785.46646,15200.81532,10
15842.04486,14712.26639,10
15828.04942,14705.35035,10
15814.05,14698.44238,10
15800.04664,14691.54235,10
15786.03943,14684.65015,10
15772.02842,14677.76567,10
15758.01369,14670.88878,10
15743.99529,14664.01936,10
15729.97329,14657.15731,10
15715.94775,14650.30249,10
15701.91875,14643.45479,10
264034.5267,98523.04419,15
263847.8733,98578.87788,15
263661.6826,98646.14951,15
263475.7562,98719.9571,15
263289.896,98795.39861,15
263103.9035,98867.57205,15
262917.5805,98931.5754,15
262730.7287,98982.50666,15
262543.1497,99015.46382,15
262354.6452,99025.54487,15
262165.017,99007.84779,15
261956.2308,98954.04194,15
261759.2047,98871.2192,15
261571.8865,98764.46655,15
261392.2241,98638.87095,15
261218.1652,98499.51938,15
261047.6577,98351.49881,15
260878.6494,98199.89622,15
260709.088,98049.79857,15
260536.9215,97906.29284,15
260360.0977,97774.466,15
260129.2633,97613.04397,15
259899.8064,97449.563,15
259671.2094,97284.80062,15
259442.9551,97119.53435,15
259214.5258,96954.54172,15
258985.4042,96790.60028,15
258755.0729,96628.48755,15
258523.0144,96468.98105,15
258288.7112,96312.85833,15
258051.646,96160.89691,15
257687.7705,95942.46298,15
257316.7078,95735.76655,15
256940.6111,95537.34121,15
256561.6335,95343.72053,15
256181.9284,95151.43807,15
