x,y,z,,,,,,kussakuh,sijiL,waterL,zw
3602.2247,122449.4465,46.15,1,,,,,50150,4000,,
13751.817,-27986.6138,36.42,2,,,,,43420,7000,,
103301.4692,141723.8283,36.59,3,,,,,40090,3500,,
101363.7461,59442.2607,3.24,4,,,,,4540,1300,500,4040
99011.2823,-20423.2895,8.51,5,,,,,10910,2400,1800,9110
140916.9335,-16309.9348,36.02,6,,,,,39820,3800,,
202083.516,108246.1798,-0.39,7,,,,,2610,3000,0,2610
3995.8621,82844.9235,37.63,8,,,,,38330,700,,
3068.105,29401.6258,6.142,S1,,,,,8142,2000,389,7753
-118746.5041,-21232.721,24.48,kizon1,,,,,29280,4800,,
-99746.5041,-1232.721,12.68,kizon2,,,,,28680,16000,,
-129737.0938,22757.8687,12.03,kizon3,,,,,28730,16700,,
-170246.5041,12267.3,20.51,kizon4,,,,,29510,9000,,
-99746.5041,46767.279,17.16,kizon5,,,,,28660,11500,,
-159746.5041,46767.279,10.72,kizon6,,,,,28720,18000,,
